USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         127  0.0  2.8  75016 28032 ?        S<s  Jan30   6:38 /usr/lib/systemd/systemd-journald
root         631  0.0  2.2 1997392 21972 ?       Ssl  Jan30   2:31 /usr/lib/snapd/snapd
root         613  0.0  1.1  29408 11648 ?        Ss   Jan30   0:05 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root      289575  0.0  1.0  14472 10216 ?        Ss   Feb17   0:00 sshd: root@pts/1
root      290905  0.0  1.0  14472 10204 ?        Ss   00:52   0:01 sshd: root@pts/3
root      286050  0.0  1.0  14472  9848 ?        Ss   Feb17   0:01 sshd: root@pts/5
root      285295  0.0  0.9  14472  9744 ?        Ss   Feb17   0:05 sshd: root@pts/2
root           1  0.0  0.9  22576  9488 ?        Ss   Jan30   3:01 /usr/lib/systemd/systemd --system --deserialize=65
root         744  0.0  0.9 107016  9420 ?        Ssl  Jan30   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root      283666  0.0  0.9  20172  9420 ?        Ss   Feb17   0:00 /usr/lib/systemd/systemd --user
root         781  0.0  0.9 1834428 9240 ?        Ssl  Jan30   5:00 /usr/bin/google_guest_agent
root         602  0.0  0.8 1765408 8744 ?        Ssl  Jan30   5:39 /usr/bin/google_osconfig_agent
www-data  204539  0.0  0.6  12488  6564 ?        S    Feb13   0:10 nginx: worker process
www-data  204538  0.0  0.6  12568  6476 ?        S    Feb13   0:09 nginx: worker process
systemd+     300  0.0  0.5  21700  5320 ?        Ss   Jan30   0:06 /usr/lib/systemd/systemd-resolved
root      291094  0.0  0.5   6068  5276 pts/3    S+   01:17   0:00 nano index.html
root         976  0.0  0.4  17876  4448 ?        Ss   Jan30   0:10 /usr/lib/systemd/systemd-logind
root      289611  0.0  0.4   5148  4392 pts/1    Ss+  Feb17   0:00 -bash
root      290983  0.0  0.4   5148  4380 pts/3    Ss   00:52   0:00 -bash
root      291096  100  0.4   8280  4216 pts/5    R+   01:18   0:00 ps aux --sort=-%mem
systemd+     478  0.0  0.4  19424  4140 ?        Ss   Jan30   0:08 /usr/lib/systemd/systemd-networkd
root      286130  0.0  0.3   5260  3572 pts/5    Ss   Feb17   0:00 -bash
root        1906  0.0  0.3  12024  3552 ?        Ss   Jan30   2:21 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root      285331  0.0  0.3   5272  3316 pts/2    Ss+  Feb17   0:00 -bash
syslog       757  0.0  0.3 222140  3232 ?        Ssl  Jan30   1:18 /usr/sbin/rsyslogd -n -iNONE
